context	role	metric	estimate	SE	CI95_low	CI95_high	SNP_N	blocks	warning	interpretation
genomewide_formal	primary_genomewide_architecture	GCORSQ	1.00994483937748	0.1082755037285778	0.7977248520694674	1.2221648266854923	3112573	200	NONE	BOUNDARY_ADJACENT_HIGH_SHARED_ARCHITECTURE
all_retinal_OCR	formal_contextual	GCORSQ	0.9354046720804324	0.1010991616487045	0.7372503152489716	1.1335590289118933	380615	200	NONE	COMPATIBLE_WITH_SHARED_ARCHITECTURE
ancestry_DAR	UNDERPOWERED_DESCRIPTIVE	GCORSQ	0.5711909941015426	0.5770626831748751	-0.5598518649212124	1.7022338531242975	1232	200	NONE	UNDERPOWERED_DESCRIPTIVE
