population	chromosome	bfile_prefix	n_snps	n_samples	variant_order_sha256	paired_variant_order_match	source_n_shared_raw	source_allele_incompatible_excluded	source_bp_different	source_order_different	status
EUR	1	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.1	491084	489	59121ba9a00d97de57711c76101baa95a2aff74c8f6dddc784e183cfdbe86ef8	True	491084	0	0	False	PASS
EAS	1	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.1	491084	481	59121ba9a00d97de57711c76101baa95a2aff74c8f6dddc784e183cfdbe86ef8	True	491084	0	0	False	PASS
EUR	2	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.2	520990	489	0c58d0f72c6c6f2d0e342d16aaf719c2a6b901d41b29c08d8ff875fe51e4c7cf	True	520990	0	0	False	PASS
EAS	2	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.2	520990	481	0c58d0f72c6c6f2d0e342d16aaf719c2a6b901d41b29c08d8ff875fe51e4c7cf	True	520990	0	0	False	PASS
EUR	3	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.3	452821	489	55b5b714b23781913412a9d1013a71502455829f8a1538e52825b4c26b0936f6	True	452821	0	0	False	PASS
EAS	3	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.3	452821	481	55b5b714b23781913412a9d1013a71502455829f8a1538e52825b4c26b0936f6	True	452821	0	0	False	PASS
EUR	4	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.4	467274	489	2c4cfe185d1016b147929a71bff688a1677ded360ee6a9691d9270e0f317ec52	True	467274	0	0	False	PASS
EAS	4	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.4	467274	481	2c4cfe185d1016b147929a71bff688a1677ded360ee6a9691d9270e0f317ec52	True	467274	0	0	False	PASS
EUR	5	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.5	392944	489	88c8943aaedd12ed2fa5e6dcd96ec89d11400211191d9644838a0ef07562661a	True	392944	0	0	False	PASS
EAS	5	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.5	392944	481	88c8943aaedd12ed2fa5e6dcd96ec89d11400211191d9644838a0ef07562661a	True	392944	0	0	False	PASS
EUR	6	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.6	432823	489	de00bd93f1c9411f67d1f9811ac7835c85459ad93c0f41be2065f5dc5be1da96	True	432823	0	0	False	PASS
EAS	6	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.6	432823	481	de00bd93f1c9411f67d1f9811ac7835c85459ad93c0f41be2065f5dc5be1da96	True	432823	0	0	False	PASS
EUR	7	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.7	376090	489	1172b32fe10b6ef4774e45a7ed48ec3c6accfbeba28c2ea88227d554f507542c	True	376090	0	0	False	PASS
EAS	7	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.7	376090	481	1172b32fe10b6ef4774e45a7ed48ec3c6accfbeba28c2ea88227d554f507542c	True	376090	0	0	False	PASS
EUR	8	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.8	340742	489	f3d9872b95cfd3da541ccc6a47735bed3497bdab9e692fb79e61d2901a2f36b0	True	340744	2	0	False	PASS
EAS	8	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.8	340742	481	f3d9872b95cfd3da541ccc6a47735bed3497bdab9e692fb79e61d2901a2f36b0	True	340744	2	0	False	PASS
EUR	9	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.9	276683	489	6ba735cd50ea6c6d599c6598ae92619457c6871527dd9398f68a4d7235031fd5	True	276684	1	0	False	PASS
EAS	9	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.9	276683	481	6ba735cd50ea6c6d599c6598ae92619457c6871527dd9398f68a4d7235031fd5	True	276684	1	0	False	PASS
EUR	10	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.10	321568	489	0deb170034cb28e7cbca639e878aa54c6a4beb0448ec2cbb3d4e0e7a523e4c04	True	321568	0	0	False	PASS
EAS	10	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.10	321568	481	0deb170034cb28e7cbca639e878aa54c6a4beb0448ec2cbb3d4e0e7a523e4c04	True	321568	0	0	False	PASS
EUR	11	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.11	310679	489	08a8315c10b4ea471ef6d930cd2def3b32272661ca8c0bc3ae758ef8e1359683	True	310679	0	0	False	PASS
EAS	11	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.11	310679	481	08a8315c10b4ea471ef6d930cd2def3b32272661ca8c0bc3ae758ef8e1359683	True	310679	0	0	False	PASS
EUR	12	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.12	302052	489	81c33148bb40d635761275b62e0f86ad2bdc40612c39911eef8113f5a5529990	True	302052	0	0	False	PASS
EAS	12	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.12	302052	481	81c33148bb40d635761275b62e0f86ad2bdc40612c39911eef8113f5a5529990	True	302052	0	0	False	PASS
EUR	13	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.13	232772	489	f535e629bafcb09e04e35b6abd78dc0f61fbd486f87503ced1aa11dbf188b6a7	True	232772	0	0	False	PASS
EAS	13	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.13	232772	481	f535e629bafcb09e04e35b6abd78dc0f61fbd486f87503ced1aa11dbf188b6a7	True	232772	0	0	False	PASS
EUR	14	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.14	203964	489	ee0f1c728490ee9d42ce2ff8c688d2c170f4f5697b73fe643f59db81a8fd6f99	True	203964	0	0	False	PASS
EAS	14	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.14	203964	481	ee0f1c728490ee9d42ce2ff8c688d2c170f4f5697b73fe643f59db81a8fd6f99	True	203964	0	0	False	PASS
EUR	15	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.15	182536	489	2498bef45dcf53075974427ffcc6db286e1db907de51c7ce5863c3b8595c5916	True	182536	0	2	True	PASS
EAS	15	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.15	182536	481	2498bef45dcf53075974427ffcc6db286e1db907de51c7ce5863c3b8595c5916	True	182536	0	2	True	PASS
EUR	16	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.16	193246	489	7b5b653a18bc373a59320ec509f0582f12e7fa706f77878d2e4179a7829ff75f	True	193246	0	0	False	PASS
EAS	16	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.16	193246	481	7b5b653a18bc373a59320ec509f0582f12e7fa706f77878d2e4179a7829ff75f	True	193246	0	0	False	PASS
EUR	17	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.17	166148	489	f62e4b8e77e295751a9ee40c94c413d14e6c8ed31ce6481f61ec27a1978da915	True	166148	0	0	False	PASS
EAS	17	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.17	166148	481	f62e4b8e77e295751a9ee40c94c413d14e6c8ed31ce6481f61ec27a1978da915	True	166148	0	0	False	PASS
EUR	18	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.18	182779	489	c07dbfe0bab9d788080a16005e0b6c0f23a82da8801cbce578bcd6b553de8c98	True	182779	0	0	False	PASS
EAS	18	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.18	182779	481	c07dbfe0bab9d788080a16005e0b6c0f23a82da8801cbce578bcd6b553de8c98	True	182779	0	0	False	PASS
EUR	19	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.19	148658	489	3f28452ebe21d63208c023e4338431844dcd01ce21ddf0f5e5e390a6bc6cb13b	True	148658	0	0	False	PASS
EAS	19	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.19	148658	481	3f28452ebe21d63208c023e4338431844dcd01ce21ddf0f5e5e390a6bc6cb13b	True	148658	0	0	False	PASS
EUR	20	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.20	135506	489	24efe269cb81770c19d6fdb6054bd1bb6b980a4a9a10ce20b0b3d1ce612f849d	True	135506	0	0	False	PASS
EAS	20	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.20	135506	481	24efe269cb81770c19d6fdb6054bd1bb6b980a4a9a10ce20b0b3d1ce612f849d	True	135506	0	0	False	PASS
