annotation	annotation_internal_name	metric_name	interval_N	mapped_unique_interval_N	panel_SNP_N	shared_usable_SNP_N	MAF_gt_0p01_SNP_N	MAF_gt_0p05_SNP_N	estimate	SE	CI95_low	CI95_high	effective_regression_SNP_N	effective_blocks	warning	stability	pilot_scope	input_freeze_id
all_retinal_OCR	ocr_union	GCORSQ	700146	685987	766637	380615	713105	544077	0.9354046720804324	0.1010991616487045	0.7372503152489716	1.1335590289118933	3112573	200	NONE	PASS_NUMERICALLY_ESTIMABLE	NUMERICAL_ESTIMABILITY_ONLY_NOT_BIOLOGICAL_HYPOTHESIS_TEST	SLDXR_FORMAL_INPUT_FREEZE_v1:6da435f42faa40f20ecf4b0b1e48d70782224704c86a829fe1e73c5269250b0a
ancestry_DAR	dar_global	GCORSQ	2227	2219	2697	1232	2511	1916	0.5711909941015426	0.5770626831748751	-0.5598518649212124	1.7022338531242975	3112573	200	NONE	PASS_NUMERICALLY_ESTIMABLE	NUMERICAL_ESTIMABILITY_ONLY_NOT_BIOLOGICAL_HYPOTHESIS_TEST	SLDXR_FORMAL_INPUT_FREEZE_v1:6da435f42faa40f20ecf4b0b1e48d70782224704c86a829fe1e73c5269250b0a
matched_non_DAR_retinal_OCR	matched_non_dar_ocr	GCORSQ	697837	683683	762598	379279	709523	541405	0.935585229843333	0.101017621054548	0.737590692576419	1.1335797671102472	3112573	200	NONE	PASS_NUMERICALLY_ESTIMABLE	NUMERICAL_ESTIMABILITY_ONLY_NOT_BIOLOGICAL_HYPOTHESIS_TEST	SLDXR_FORMAL_INPUT_FREEZE_v1:6da435f42faa40f20ecf4b0b1e48d70782224704c86a829fe1e73c5269250b0a
