chromosome	panel_rows	annotation_rows	score_input_rows	score_output_rows	score_output_status	annotation_columns	missing_snps	duplicate_snps	chr_mismatch	bp_mismatch	order_match	status
1	491084	491084	491084	455562	PASS	97	0	0	0	0	True	PASS
2	520990	520990	520990	483350	PASS	97	0	0	0	0	True	PASS
3	452821	452821	452821	423587	PASS	97	0	0	0	0	True	PASS
4	467274	467274	467274	434675	PASS	97	0	0	0	0	True	PASS
5	392944	392944	392944	366982	PASS	97	0	0	0	0	True	PASS
6	432823	432823	432823	401686	PASS	97	0	0	0	0	True	PASS
7	376090	376090	376090	351394	PASS	97	0	0	0	0	True	PASS
8	340742	340742	340742	319865	PASS	97	0	0	0	0	True	PASS
9	276683	276683	276683	255990	PASS	97	0	0	0	0	True	PASS
10	321568	321568	321568	299593	PASS	97	0	0	0	0	True	PASS
11	310679	310679	310679	290949	PASS	97	0	0	0	0	True	PASS
12	302052	302052	302052	280784	PASS	97	0	0	0	0	True	PASS
13	232772	232772	232772	217132	PASS	97	0	0	0	0	True	PASS
14	203964	203964	203964	188600	PASS	97	0	0	0	0	True	PASS
15	182536	182536	182536	169150	PASS	97	0	0	0	0	True	PASS
16	193246	193246	193246	180704	PASS	97	0	0	0	0	True	PASS
17	166148	166148	166148	154964	PASS	97	0	0	0	0	True	PASS
18	182779	182779	182779	170480	PASS	97	0	0	0	0	True	PASS
19	148658	148658	148658	138383	PASS	97	0	0	0	0	True	PASS
20	135506	135506	135506	126749	PASS	97	0	0	0	0	True	PASS
21	89744	89744	89744	84285	PASS	97	0	0	0	0	True	PASS
22	88626	88626	88626	82385	PASS	97	0	0	0	0	True	PASS
