ANNOT	NSNP	STD	TAU1	TAU1_SE	TAU2	TAU2_SE	THETA	THETA_SE	HSQ1	HSQ1_SE	HSQ2	HSQ2_SE	GCOV	GCOV_SE	GCOR	GCOR_SE	GCORSQ	GCORSQ_SE	HSQ1_ENRICHMENT	HSQ1_ENRICHMENT_SE	HSQ2_ENRICHMENT	HSQ2_ENRICHMENT_SE	GCOV_ENRICHMENT	GCOV_ENRICHMENT_SE	GCORSQ_ENRICHMENT	GCORSQ_ENRICHMENT_SE	GCORSQ_ENRICHMENT_P	GCOVSQ_DIFF	GCOVSQ_DIFF_SE	GCOVSQ_DIFF_P
base	5877249.0	0.0	-3.091324529691519e-08	5.098451438811935e-08	-5.150903703565746e-08	3.031383144502797e-08	-8.589949374027128e-08	3.720240826510235e-08	0.49497224520776284	0.033220870602322754	0.3796348413142194	0.01991658339044774	0.43541825725951705	0.022211181113153816	1.0044613	0.05382505546165894	1.0063589828854242	0.10786977375892913	1.000008116157164	4.21971066293562e-07	1.000000777712865	5.34856873097376e-07	0.9999988345523052	4.7837377424699e-07	1.0	0.0	1.0	0.0	0.0	1.0
Coding_UCSC	83743.0	0.117704526	1.295402825007841e-07	3.03270354606866e-07	-2.012855588873208e-07	1.5426910238147684e-07	1.5442891410089032e-08	1.5908193518043845e-07	0.04386868607184769	0.015896738070048405	0.03897365482286211	0.008991808615639975	0.027625969100023493	0.00813688928282677	0.66812027	0.1653599537785289	0.7179550597912681	0.1522318801236289	6.442357274368185	2.240833873117495	7.1516460216551385	1.6518811682081829	4.505955738631758	1.3270280609056244	0.7134184441149948	0.13455345884536046	0.03441060563458742	-0.0009928258159068357	0.0006513305473536398	0.12902038314788777
Coding_UCSC.flanking.500	290086.0	0.2130084	-1.5480112836030457e-07	8.18163385929438e-08	-1.21627209637154e-07	5.418296566972458e-08	-1.7917261629918357e-07	6.200239965892251e-08	0.019691320854557423	0.01977404090793117	0.012642629202449795	0.011185628152961029	0.01762458618698399	0.012169502919493648	1.1170248	0.7469991097926258	1.038636036285492	0.26637977746278035	0.8071449025765919	0.802889560213818	0.6936531985905764	0.5926541490575684	0.817166845705564	0.5696243302575247	1.0320731010990962	0.24020646147191232	0.8939146604991965	-1.8278509631347963e-05	0.000352976768603217	0.9587528364669513
Conserved_LindbladToh	143760.0	0.15291773	-7.578366023608396e-08	3.684172895646043e-07	-1.2702686902343885e-08	2.681610453691974e-07	-1.8886599661982473e-07	1.954907133949746e-07	0.08568721530825124	0.02980828461757236	0.08914354485521708	0.01897813929385633	0.050573162593686175	0.01712570400032655	0.5786516	0.16226802372112362	0.7576587098751633	0.12392232989024414	7.114154268815068	2.403624081314234	9.325106885502137	1.9809411331807971	4.763433389246444	1.6585434057024946	0.7528712147059198	0.09559720192789091	0.010449824337041669	-0.005184549413367786	0.002885026188038229	0.07384328970378773
Conserved_LindbladToh.flanking.500	1795783.0	0.4554383	-9.520969790344225e-09	6.135978480870108e-08	-3.3725790160588076e-08	6.315785583410616e-08	-4.103356232576516e-08	8.507149118486268e-08	0.23499558027902312	0.0463237257292101	0.1459846246175888	0.034569425403753046	0.19116715895897918	0.04802314274629002	1.0321193	0.165377289955742	1.013430778812496	0.11685406668333347	1.570593178800976	0.29664306178528793	1.2472814647987633	0.2870984344823231	1.442080746062103	0.3524372580249016	1.00702711065071	0.049701643656065754	0.8877081322337013	0.0005713058291611714	0.011042374639474911	0.9587896829411284
CTCF_Hoffman	140051.0	0.15095784	2.3207526567148307e-08	1.7388570938692283e-07	-1.1053310089437218e-07	1.0041129883120448e-07	-1.847945299005005e-07	8.699994680227974e-08	0.02528967899616339	0.02386796766234368	0.004677371592329612	0.01360308356865406	-0.005874472282482623	0.01124633778677728	-0.54012746	1.6373067509846908	0.7161485022267422	0.17899728055699513	2.1408781874190037	2.0389951969413493	0.3885146512921632	1.5104874113503481	-0.5572807252227827	1.0853578571699543	0.711623301829539	0.15200910152249758	0.059262686693335676	-0.00014139552448737698	0.0004792918825176203	0.7682943840832444
CTCF_Hoffman.flanking.500	276271.0	0.20812215	-2.941484353868873e-07	1.0686157025929788e-07	-7.065067109124357e-08	6.330949275934472e-08	-6.789773010495992e-08	5.700873373370996e-08	-0.04630644040198582	0.02818403767149034	0.005846340519597301	0.01590647136711396	0.014024342848914201	0.014175048393988308	0.0	0.0	1.5452578166762154	0.40250790936269343	-1.9194294440474793	1.2286865667280518	0.34677160023898346	0.897829942551142	0.7038268194968866	0.698086096307917	1.535493638905736	0.35088458557309743	0.12856657004908212	0.000345177401288484	0.0009903166109631032	0.7277937139463266
DGF_ENCODE	793439.0	0.34128538	-7.1002929757924e-08	9.930088396004066e-08	3.302125151094515e-08	6.34340295846414e-08	2.2468194416092047e-08	8.22585093374073e-08	0.08630725185752727	0.056946280523421426	0.08779994418844093	0.030999835350559283	0.07613313505363059	0.03082550918737977	0.8745869	0.34653687002312883	0.9736525652750073	0.13701172971990094	0.9433447844298679	0.8497071476260917	1.6841638338437734	0.5857698628161059	1.2975492082782722	0.5196046330967384	0.9675002477578712	0.08290075832945669	0.695454071343292	-0.0021776585871234244	0.0054681706310899195	0.6908782832897502
DGF_ENCODE.flanking.500	2368307.0	0.49242878	7.2822061270017e-08	5.808917080685205e-08	7.973357440960172e-08	4.9555655579069935e-08	8.755053215736552e-08	5.7871208269943963e-08	0.3103747524320811	0.07037568387978063	0.2420329850339506	0.04307570356402604	0.30583803335045784	0.04673733122793112	1.1158633	0.1600949178808438	1.0545599062641782	0.12689730939330618	1.718630510023751	0.3475192086930112	1.5750287889540555	0.2952605789798412	1.7469794829599827	0.2521846955414433	1.0478963513005595	0.06260305417707315	0.44513021994001845	0.017061249029216893	0.02262883795849184	0.45176415552346194
DHS_peaks_Trynka	644920.0	0.30395728	2.091023674211101e-07	1.7939130714239582e-07	7.333870399861553e-08	8.95372380682602e-08	1.4832443184786825e-07	1.0416088969122939e-07	0.166900932817308	0.065206395215916	0.09818304182482243	0.032810758487418594	0.1009785278025001	0.03197764741215372	0.78882635	0.22754472107564466	0.9489437096110767	0.12325645729943496	2.887544053685046	1.1740410936365016	2.3854558297067388	0.7940987464033415	2.114565252269771	0.6746526002110027	0.9429475224539389	0.06541384533628376	0.3841626962331992	-0.006479935474594949	0.008105694718672934	0.4249943016569415
