metric	recomputed	frozen	abs_delta	status
case_top_fraction	0.05762987012987013	0.0576298701298701	2.7755575615628914e-17	PASS
background_top_fraction	0.05181673649213376	0.0518167364921337	6.245004513516506e-17	PASS
odds_ratio	1.1190470774746328	1.1190470774746328	0.0	PASS
fisher_p	0.3669847765461345	0.3669847765461345	0.0	PASS
continuous_mean_difference	0.03512187355197938	0.0351218735519793	7.632783294297951e-17	PASS
continuous_p	0.7106956687304247	0.7106956687304247	0.0	PASS
permutation_observed_statistic	0.06473445207945505	0.064734452079455	5.551115123125783e-17	PASS
permutation_empirical_p	0.3336663336663337	0.3336663336663337	0.0	PASS
