bin_left	bin_right	count
0.0	0.2	1612931
0.2	0.4	1042355
0.4	0.6000000000000001	683313
0.6000000000000001	0.8	452276
0.8	1.0	298983
1.0	1.2000000000000002	203810
1.2000000000000002	1.4000000000000001	135502
1.4000000000000001	1.6	92534
1.6	1.8	64352
1.8	2.0	44311
2.0	2.2	30978
2.2	2.4000000000000004	21353
2.4000000000000004	2.6	14905
2.6	2.8000000000000003	10385
2.8000000000000003	3.0	7183
3.0	3.2	5538
3.2	3.4000000000000004	4356
3.4000000000000004	3.6	2752
3.6	3.8000000000000003	1938
3.8000000000000003	4.0	1529
4.0	4.2	1273
4.2	4.4	983
4.4	4.6000000000000005	758
4.6000000000000005	4.800000000000001	555
4.800000000000001	5.0	490
5.0	5.2	382
5.2	5.4	446
5.4	5.6000000000000005	297
5.6000000000000005	5.800000000000001	305
5.800000000000001	6.0	210
6.0	6.2	212
6.2	6.4	177
6.4	6.6000000000000005	217
6.6000000000000005	6.800000000000001	140
6.800000000000001	7.0	164
7.0	7.2	167
7.2	7.4	146
7.4	7.6000000000000005	112
7.6000000000000005	7.800000000000001	115
7.800000000000001	8.0	85
8.0	8.200000000000001	132
8.200000000000001	8.4	135
8.4	8.6	132
8.6	8.8	80
8.8	9.0	79
9.0	9.200000000000001	52
9.200000000000001	9.4	47
9.4	9.600000000000001	29
9.600000000000001	9.8	39
9.8	10.0	36
10.0	10.200000000000001	32
10.200000000000001	10.4	31
10.4	10.600000000000001	43
10.600000000000001	10.8	23
10.8	11.0	40
11.0	11.200000000000001	41
11.200000000000001	11.4	21
11.4	11.600000000000001	49
11.600000000000001	11.8	14
11.8	12.0	16
12.0	12.200000000000001	18
12.200000000000001	12.4	25
12.4	12.600000000000001	20
12.600000000000001	12.8	9
12.8	13.0	5
13.0	13.200000000000001	7
13.200000000000001	13.4	11
13.4	13.600000000000001	3
13.600000000000001	13.8	4
13.8	14.0	2
14.0	14.200000000000001	6
14.200000000000001	14.4	3
14.4	14.600000000000001	2
14.600000000000001	14.8	5
14.8	15.0	4
15.0	15.200000000000001	6
15.200000000000001	15.4	1
15.4	15.600000000000001	6
15.600000000000001	15.8	7
15.8	16.0	4
16.0	16.2	5
16.2	16.400000000000002	3
16.400000000000002	16.6	2
16.6	16.8	5
16.8	17.0	2
17.0	17.2	0
17.2	17.400000000000002	0
17.400000000000002	17.6	1
17.6	17.8	2
17.8	18.0	0
18.0	18.2	5
18.2	18.400000000000002	4
18.400000000000002	18.6	1
18.6	18.8	0
18.8	19.0	1
19.0	19.200000000000003	0
19.200000000000003	19.400000000000002	1
19.400000000000002	19.6	2
19.6	19.8	4
19.8	20.0	122
