dataset	filename	file_exists	file_size_bytes	expected_remote_bytes	file_complete_by_remote_size	sha256	number_variants	duplicated_variants	duplicated_chr_pos	missing_p	missing_allele	invalid_p	invalid_freq	missing_freq	missing_info	snp_variants	indel_or_non_snp_variants	ambiguous_snp_variants	multi_allelic_loci	genomewide_significant_p_lt_5e-8	rsid_available	chromosome_min	chromosome_max	chromosome_variant_counts
EUR	EUR_meta_no23andMe.fastGWAz	True	546618578	546618578	True	28e9568348e1f75b85638bd9b3da61583cc000b4bf22a57eb8f6446cec10178e	5590053	218	491	0	0	0	0	0	NA	5260419	329634	813247	not inferable from source columns; audited as duplicated chr:pos	28219	5590053	1	9	1:424228;2:454192;3:400099;4:414097;5:358504;6:390614;7:333849;8:304540;9:244694;10:288115;11:281519;12:266248;13:211378;14:182729;15:152374;16:168205;17:143548;18:164351;19:130216;20:124018;21:77917;22:74618
EAS	EAS_meta.fastGWAz	True	458797930	458797930	True	0573db65193347b4111c31d37ba2c280c81607be0a17f692dc702bcc7a65a604	4739897	1026	2162	0	0	0	0	0	NA	4324533	415364	671853	not inferable from source columns; audited as duplicated chr:pos	1756	4739897	1	9	1:365538;2:376385;3:345848;4:351449;5:300763;6:340143;7:283735;8:251481;9:210397;10:244339;11:234396;12:227883;13:177584;14:155892;15:131467;16:141095;17:120952;18:140781;19:111214;20:101173;21:66004;22:61378
AFR	AFR_meta.fastGWAz	True	906857500	906857500	True	e0043036e8cbc8bb457e292047eda5969698a745e820964a9a18e912e59d967f	9519284	1498	2117	0	0	0	0	0	NA	8765891	753393	1353959	not inferable from source columns; audited as duplicated chr:pos	63	9519284	1	9	1:736322;2:787879;3:680975;4:696369;5:613457;6:637441;7:566206;8:526354;9:416041;10:483698;11:479895;12:450057;13:351517;14:310989;15:270939;16:290345;17:251982;18:278319;19:220044;20:211314;21:131977;22:127164
