bin_left	bin_right	count
0.0	0.005	584332
0.005	0.01	398785
0.01	0.015	263711
0.015	0.02	200537
0.02	0.025	233271
0.025	0.03	345543
0.03	0.035	442762
0.035	0.04	457840
0.04	0.045	422839
0.045	0.05	374035
0.05	0.055	330151
0.055	0.06	294172
0.06	0.065	264475
0.065	0.07	239628
0.07	0.075	220830
0.075	0.08	200979
0.08	0.085	184439
0.085	0.09	169160
0.09	0.095	158763
0.095	0.1	145203
0.1	0.105	133756
0.105	0.11	122133
0.11	0.115	112540
0.115	0.12	104332
0.12	0.125	97386
0.125	0.13	90535
0.13	0.135	85572
0.135	0.14	79991
0.14	0.145	75941
0.145	0.15	70007
0.15	0.155	67727
0.155	0.16	64852
0.16	0.165	64445
0.165	0.17	60108
0.17	0.17500000000000002	59152
0.17500000000000002	0.18	55971
0.18	0.185	54853
0.185	0.19	53853
0.19	0.195	51667
0.195	0.2	50482
0.2	0.20500000000000002	50187
0.20500000000000002	0.21	48398
0.21	0.215	47487
0.215	0.22	45459
0.22	0.225	45670
0.225	0.23	44455
0.23	0.23500000000000001	43486
0.23500000000000001	0.24	41546
0.24	0.245	40342
0.245	0.25	38377
0.25	0.255	38914
0.255	0.26	38554
0.26	0.265	38905
0.265	0.27	38949
0.27	0.275	38395
0.275	0.28	37334
0.28	0.28500000000000003	36695
0.28500000000000003	0.29	35764
0.29	0.295	35362
0.295	0.3	35199
0.3	0.305	34262
0.305	0.31	33876
0.31	0.315	34165
0.315	0.32	33972
0.32	0.325	33262
0.325	0.33	33354
0.33	0.335	32737
0.335	0.34	32964
0.34	0.34500000000000003	32350
0.34500000000000003	0.35000000000000003	31872
0.35000000000000003	0.355	31303
0.355	0.36	31273
0.36	0.365	30597
0.365	0.37	31219
0.37	0.375	30382
0.375	0.38	30147
0.38	0.385	30417
0.385	0.39	29612
0.39	0.395	29544
0.395	0.4	29642
0.4	0.405	29109
0.405	0.41000000000000003	28721
0.41000000000000003	0.41500000000000004	28845
0.41500000000000004	0.42	28367
0.42	0.425	28813
0.425	0.43	29168
0.43	0.435	28728
0.435	0.44	28469
0.44	0.445	28208
0.445	0.45	28797
0.45	0.455	29208
0.455	0.46	29048
0.46	0.465	28754
0.465	0.47000000000000003	28898
0.47000000000000003	0.47500000000000003	29315
0.47500000000000003	0.48	28995
0.48	0.485	29364
0.485	0.49	28813
0.49	0.495	28503
0.495	0.5	27975
