bin_left	bin_right	count
0.0	0.2	1689700
0.2	0.4	1104461
0.4	0.6000000000000001	756491
0.6000000000000001	0.8	524510
0.8	1.0	372423
1.0	1.2000000000000002	261489
1.2000000000000002	1.4000000000000001	191450
1.4000000000000001	1.6	143145
1.6	1.8	104429
1.8	2.0	79524
2.0	2.2	60217
2.2	2.4000000000000004	47792
2.4000000000000004	2.6	38811
2.6	2.8000000000000003	30061
2.8000000000000003	3.0	23581
3.0	3.2	19075
3.2	3.4000000000000004	16916
3.4000000000000004	3.6	13476
3.6	3.8000000000000003	11845
3.8000000000000003	4.0	10418
4.0	4.2	8787
4.2	4.4	7117
4.4	4.6000000000000005	6218
4.6000000000000005	4.800000000000001	5233
4.800000000000001	5.0	4485
5.0	5.2	3953
5.2	5.4	3330
5.4	5.6000000000000005	3216
5.6000000000000005	5.800000000000001	2991
5.800000000000001	6.0	2987
6.0	6.2	2812
6.2	6.4	2342
6.4	6.6000000000000005	2461
6.6000000000000005	6.800000000000001	1979
6.800000000000001	7.0	1715
7.0	7.2	1613
7.2	7.4	1545
7.4	7.6000000000000005	1456
7.6000000000000005	7.800000000000001	1354
7.800000000000001	8.0	1160
8.0	8.200000000000001	975
8.200000000000001	8.4	905
8.4	8.6	881
8.6	8.8	855
8.8	9.0	982
9.0	9.200000000000001	700
9.200000000000001	9.4	812
9.4	9.600000000000001	763
9.600000000000001	9.8	684
9.8	10.0	635
10.0	10.200000000000001	727
10.200000000000001	10.4	615
10.4	10.600000000000001	519
10.600000000000001	10.8	466
10.8	11.0	642
11.0	11.200000000000001	603
11.200000000000001	11.4	336
11.4	11.600000000000001	346
11.600000000000001	11.8	347
11.8	12.0	285
12.0	12.200000000000001	296
12.200000000000001	12.4	392
12.4	12.600000000000001	277
12.600000000000001	12.8	257
12.8	13.0	246
13.0	13.200000000000001	254
13.200000000000001	13.4	331
13.4	13.600000000000001	327
13.600000000000001	13.8	273
13.8	14.0	207
14.0	14.200000000000001	167
14.200000000000001	14.4	170
14.4	14.600000000000001	204
14.600000000000001	14.8	232
14.8	15.0	199
15.0	15.200000000000001	158
15.200000000000001	15.4	201
15.4	15.600000000000001	208
15.600000000000001	15.8	150
15.8	16.0	145
16.0	16.2	164
16.2	16.400000000000002	152
16.400000000000002	16.6	126
16.6	16.8	162
16.8	17.0	129
17.0	17.2	123
17.2	17.400000000000002	132
17.400000000000002	17.6	99
17.6	17.8	97
17.8	18.0	104
18.0	18.2	140
18.2	18.400000000000002	146
18.400000000000002	18.6	110
18.6	18.8	117
18.8	19.0	111
19.0	19.200000000000003	69
19.200000000000003	19.400000000000002	44
19.400000000000002	19.6	74
19.6	19.8	62
19.8	20.0	3552
