bin_left	bin_right	count
0.0	0.005	0
0.005	0.01	31629
0.01	0.015	104606
0.015	0.02	131646
0.02	0.025	129446
0.025	0.03	121251
0.03	0.035	113808
0.035	0.04	111242
0.04	0.045	104894
0.045	0.05	103795
0.05	0.055	96404
0.055	0.06	93426
0.06	0.065	87389
0.065	0.07	84014
0.07	0.075	80224
0.075	0.08	74773
0.08	0.085	72960
0.085	0.09	72053
0.09	0.095	70588
0.095	0.1	67303
0.1	0.105	64769
0.105	0.11	62681
0.11	0.115	60167
0.115	0.12	58453
0.12	0.125	56682
0.125	0.13	56895
0.13	0.135	55779
0.135	0.14	53229
0.14	0.145	54188
0.145	0.15	53931
0.15	0.155	51279
0.155	0.16	50082
0.16	0.165	49667
0.165	0.17	48516
0.17	0.17500000000000002	47345
0.17500000000000002	0.18	45472
0.18	0.185	46301
0.185	0.19	44845
0.19	0.195	44473
0.195	0.2	42357
0.2	0.20500000000000002	42378
0.20500000000000002	0.21	40913
0.21	0.215	40901
0.215	0.22	40642
0.22	0.225	40129
0.225	0.23	39554
0.23	0.23500000000000001	40523
0.23500000000000001	0.24	38693
0.24	0.245	38860
0.245	0.25	37551
0.25	0.255	37101
0.255	0.26	34910
0.26	0.265	35335
0.265	0.27	34738
0.27	0.275	33956
0.275	0.28	35078
0.28	0.28500000000000003	36303
0.28500000000000003	0.29	34243
0.29	0.295	34709
0.295	0.3	34190
0.3	0.305	33630
0.305	0.31	32565
0.31	0.315	33002
0.315	0.32	32456
0.32	0.325	33462
0.325	0.33	32641
0.33	0.335	31690
0.335	0.34	30945
0.34	0.34500000000000003	31765
0.34500000000000003	0.35000000000000003	31486
0.35000000000000003	0.355	30975
0.355	0.36	30328
0.36	0.365	29918
0.365	0.37	29095
0.37	0.375	28633
0.375	0.38	29547
0.38	0.385	29713
0.385	0.39	28351
0.39	0.395	29663
0.395	0.4	29350
0.4	0.405	28746
0.405	0.41000000000000003	30021
0.41000000000000003	0.41500000000000004	29233
0.41500000000000004	0.42	29102
0.42	0.425	29563
0.425	0.43	28792
0.43	0.435	29222
0.435	0.44	28969
0.44	0.445	28484
0.445	0.45	27538
0.45	0.455	29018
0.455	0.46	28579
0.46	0.465	28612
0.465	0.47000000000000003	28106
0.47000000000000003	0.47500000000000003	26917
0.47500000000000003	0.48	27137
0.48	0.485	28079
0.485	0.49	27502
0.49	0.495	28178
0.495	0.5	29615
