bin_left	bin_right	count
0.0	0.005	29855
0.005	0.01	133547
0.01	0.015	161327
0.015	0.02	166150
0.02	0.025	172663
0.025	0.03	173972
0.03	0.035	169679
0.035	0.04	158679
0.04	0.045	144227
0.045	0.05	136923
0.05	0.055	123205
0.055	0.06	119275
0.06	0.065	110617
0.065	0.07	101398
0.07	0.075	98101
0.075	0.08	89905
0.08	0.085	87763
0.085	0.09	82611
0.09	0.095	80121
0.095	0.1	75434
0.1	0.105	73572
0.105	0.11	71019
0.11	0.115	70061
0.115	0.12	65145
0.12	0.125	65621
0.125	0.13	62220
0.13	0.135	61168
0.135	0.14	57543
0.14	0.145	57764
0.145	0.15	58849
0.15	0.155	56571
0.155	0.16	55864
0.16	0.165	53338
0.165	0.17	53926
0.17	0.17500000000000002	51665
0.17500000000000002	0.18	50105
0.18	0.185	47704
0.185	0.19	49032
0.19	0.195	47427
0.195	0.2	46766
0.2	0.20500000000000002	46203
0.20500000000000002	0.21	44745
0.21	0.215	44017
0.215	0.22	42741
0.22	0.225	42937
0.225	0.23	41743
0.23	0.23500000000000001	41208
0.23500000000000001	0.24	39343
0.24	0.245	39729
0.245	0.25	38726
0.25	0.255	39799
0.255	0.26	37593
0.26	0.265	38174
0.265	0.27	37802
0.27	0.275	38105
0.275	0.28	35155
0.28	0.28500000000000003	36685
0.28500000000000003	0.29	35205
0.29	0.295	34582
0.295	0.3	34860
0.3	0.305	34320
0.305	0.31	34899
0.31	0.315	34958
0.315	0.32	33730
0.32	0.325	34313
0.325	0.33	34543
0.33	0.335	33397
0.335	0.34	33033
0.34	0.34500000000000003	33045
0.34500000000000003	0.35000000000000003	32169
0.35000000000000003	0.355	32528
0.355	0.36	31998
0.36	0.365	31392
0.365	0.37	30856
0.37	0.375	30040
0.375	0.38	29877
0.38	0.385	30301
0.385	0.39	31060
0.39	0.395	30182
0.395	0.4	29402
0.4	0.405	28857
0.405	0.41000000000000003	29842
0.41000000000000003	0.41500000000000004	30013
0.41500000000000004	0.42	29836
0.42	0.425	29106
0.425	0.43	29112
0.43	0.435	29148
0.435	0.44	29545
0.44	0.445	29036
0.445	0.45	30086
0.45	0.455	28965
0.455	0.46	29422
0.46	0.465	28661
0.465	0.47000000000000003	28386
0.47000000000000003	0.47500000000000003	29710
0.47500000000000003	0.48	28885
0.48	0.485	28265
0.485	0.49	29276
0.49	0.495	28896
0.495	0.5	28799
