ANNOT	NSNP	STD	TAU1	TAU1_SE	TAU2	TAU2_SE	THETA	THETA_SE	HSQ1	HSQ1_SE	HSQ2	HSQ2_SE	GCOV	GCOV_SE	GCOR	GCOR_SE	GCORSQ	GCORSQ_SE	HSQ1_ENRICHMENT	HSQ1_ENRICHMENT_SE	HSQ2_ENRICHMENT	HSQ2_ENRICHMENT_SE	GCOV_ENRICHMENT	GCOV_ENRICHMENT_SE	GCORSQ_ENRICHMENT	GCORSQ_ENRICHMENT_SE	GCORSQ_ENRICHMENT_P	GCOVSQ_DIFF	GCOVSQ_DIFF_SE	GCOVSQ_DIFF_P
base	5877249.0	0.0	-3.8783145583920486e-08	5.0854207955808306e-08	-5.9416777276055655e-08	3.015029292896543e-08	-9.652212895616685e-08	3.700372275261543e-08	0.4942643977082528	0.03313671030740155	0.3788002272521303	0.01986198497044121	0.4354056295865452	0.022246173695206622	1.0062578	0.05393092275105885	1.00994483937748	0.10827550372857783	1.0000041796554	4.094122109504397e-07	0.9999995688923673	5.337546131971259e-07	0.9999963259449498	4.6255104399742e-07	1.0	0.0	1.0	0.0	0.0	1.0
Coding_UCSC	83743.0	0.117704526	1.564277027910066e-07	3.0551464647032844e-07	-1.7270389207624248e-07	1.5244191331476031e-07	2.8256646800173257e-08	1.5823577825813118e-07	0.045266172783292744	0.015947773762736102	0.040133197500130495	0.009058741664315997	0.027995206294705255	0.008168178652175326	0.6568178	0.1596539563520945	0.7079896026702936	0.1473503105183467	6.630626039409941	2.2543805714842966	7.365189608324855	1.6670088098357545	4.56344225752307	1.3324270506531297	0.7010180903609463	0.1304435310753828	0.022949533954528922	-0.0010867841155610483	0.0006785304993522225	0.11081407753805061
Coding_UCSC.flanking.500	290086.0	0.2130084	-1.757268677238244e-07	8.363016945622803e-08	-1.399731530682402e-07	5.3814503075955145e-08	-1.9216408020383824e-07	6.288590270742134e-08	0.01634059326432552	0.019826848394619456	0.00969756566325286	0.011089396437135336	0.016301753543788586	0.012088757143194578	1.2949978	1.0759834293901165	1.0855597516939588	0.2859232411713654	0.6749186318664888	0.8073457000966505	0.5411881682914983	0.5900335909725126	0.756010591885516	0.5658648092853782	1.0748703388227492	0.2549065357485504	0.7692803978645009	2.9919924154838467e-05	0.0003122558883526862	0.9237610613248317
Conserved_LindbladToh	143760.0	0.15291773	-1.0097730296365626e-07	3.6894374488838366e-07	-3.451178542945854e-08	2.693945191367675e-07	-2.1137564942819154e-07	1.9599816880599974e-07	0.08062805013245072	0.029900083354713242	0.08454528621325275	0.018990999484300684	0.047357784891964946	0.01733278939469005	0.57359266	0.17158682163207437	0.7668514289991322	0.12653728823609245	6.733752843597099	2.420048261094465	8.854692763395507	1.9919671050519445	4.466102805102485	1.6818203098426299	0.7593003093830469	0.09700576929606342	0.013919585998608097	-0.004697896085382711	0.0027284353110667778	0.08665457833746526
Conserved_LindbladToh.flanking.500	1795783.0	0.4554383	-8.505028681327076e-09	6.14305690760375e-08	-3.252270275311275e-08	6.335568514259649e-08	-3.906332324277173e-08	8.513897142847782e-08	0.24090078140186263	0.04692112486593925	0.15180068672214425	0.03491933462313702	0.19613078297234204	0.048971570259121154	1.0256279	0.16149234095707798	1.014625788017164	0.11640569672237844	1.606263052619258	0.30135116462713546	1.2993883924705307	0.2907764764291709	1.4787421855708351	0.3591408155857993	1.0046348557437745	0.048177911526985744	0.9234562243692277	2.077522489412481e-05	0.011371936382926572	0.9985441871877243
CTCF_Hoffman	140051.0	0.15095784	6.941345276345601e-08	1.7294689769187244e-07	-7.207588481605853e-08	1.008175871675121e-07	-1.4496362155114184e-07	8.667353768032626e-08	0.02781631150483243	0.02385958235055382	0.0065551811192443975	0.013654846362154534	-0.0037761442218388506	0.011253737046325304	-0.2796446	1.0479049372801015	0.7227788410645201	0.17686480672776217	2.3459073126717764	2.0423972009153024	0.5977658713348889	1.5171768826675034	-0.35779311944876774	1.0867363891452084	0.7156617004053745	0.14935869981485644	0.05838862092042674	-0.00022565338573987003	0.0005048827293538333	0.6554028495559359
CTCF_Hoffman.flanking.500	276271.0	0.20812215	-2.7900497912014544e-07	1.072127915335841e-07	-5.766099064885566e-08	6.319033474255775e-08	-5.9151130216150705e-08	5.6396121550505995e-08	-0.043330159325018894	0.028304963178941454	0.008485325614663166	0.015925156596214476	0.015622825817006317	0.014089950562281508	0.0	0.0	1.5089328983557724	0.3811561724458333	-1.8028193793381129	1.2344130386528511	0.49088718113622076	0.9022321058837252	0.7825024550935052	0.6940980750961857	1.4940745667712543	0.3304837523593787	0.1364974410658184	0.0004999201861344354	0.000977379801622801	0.6095749266940147
DGF_ENCODE	793439.0	0.34128538	-7.11523142626902e-08	9.953751600733085e-08	3.2330536470226434e-08	6.34360404205836e-08	2.859384373721241e-08	8.192813538698829e-08	0.08948291859472157	0.057027785088715574	0.08829493566559476	0.030819835452095514	0.080458281491197	0.0309830665539802	0.9051755	0.34559889967463864	0.9840301332398307	0.13824175313214757	0.9975825320704845	0.8525696122885077	1.698425893518162	0.5831073044786118	1.3694024305128725	0.5208635886056342	0.974340473729612	0.08284765096965951	0.7570984138526322	-0.0018598727045501997	0.005604301435236562	0.7403402978571456
DGF_ENCODE.flanking.500	2368307.0	0.49242878	6.289751297572366e-08	5.8109367984116034e-08	7.224211628908961e-08	4.9786681444174974e-08	8.293675790582711e-08	5.821894433211128e-08	0.30329938161430225	0.07018359526564365	0.23797553083716166	0.04277989679277704	0.3011037885348222	0.04685731953051672	1.1207644	0.16362474640551147	1.0591956130838551	0.12806295964319622	1.681070385406381	0.3466567608147056	1.550475263624502	0.293348963217327	1.7204771607301568	0.2539165041973446	1.0487658056025444	0.06331469613372688	0.4420869003438308	0.016872120258653686	0.022299634276612353	0.450178518893664
DHS_peaks_Trynka	644920.0	0.30395728	1.8090209152887837e-07	1.7935880691766215e-07	4.6415021159873504e-08	8.920640937049029e-08	1.3746853255725e-07	1.0333905464676718e-07	0.16726456108610468	0.06523410212427605	0.09598788990979405	0.03280144717580144	0.10308957946623926	0.03207865609792677	0.8135881	0.23449498833016222	0.9586279294894221	0.124778217774243	2.8945156025703445	1.176311449085207	2.3363950778874	0.7952313109114985	2.158843303593039	0.6754556446566844	0.9491884032798374	0.06585220072532165	0.4412662997532002	-0.0057756454043549135	0.008083975222065097	0.4757824228640306
DHS_Trynka	972824.0	0.3618699	-8.803999662632123e-08	1.3853917835149332e-07	-1.472427300086565e-07	8.062635714622957e-08	-1.8500126941489725e-07	8.556384756275293e-08	0.19096083453688548	0.06959426262835987	0.11331227826670265	0.041872178792182954	0.09691677623431294	0.03794667363957773	0.6588527	0.1961048647924318	0.9188487205597852	0.11605672909984134	2.375492624612145	0.851206754636392	1.7749262211804075	0.67735836960366	1.3494681488699438	0.5427354233491267	0.9098008967758621	0.05795005256487835	0.12117878643219426	-0.012638306479234368	0.010199250397380481	0.216752865450625
DHS_Trynka.flanking.500	1940360.0	0.4757114	-2.1220238011210313e-08	7.299934168258915e-08	-4.718786072999137e-08	4.5311526974955996e-08	1.8806584733965792e-08	5.642576184072823e-08	0.17697663745658376	0.0790879350586812	0.14319032538722914	0.04102485582056757	0.23272923802348058	0.04481374359099022	1.4619622	0.3614052143395492	1.1177410563142274	0.12769195104317596	1.1162683893727827	0.47951633454273546	1.118026853868735	0.3209854771671723	1.6197275913218137	0.2890783905204825	1.1067347569231523	0.06408892793820017	0.09740316266102056	0.027877856745108388	0.016238805151027543	0.08758207911864524
